Date,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2009-03-11,63.795,64.07,62.745,63.32,436323299630,2,Wednesday,,
2009-03-12,63.32,64.205,61.41,63.9,462196999600,3,Thursday,,
2009-03-13,63.895,64.975,63.535,64.445,410939499690,4,Friday,,
2009-03-15,64.235,64.315,64.17,64.23,1535000020,6,Sunday,,
2009-03-16,64.22,65.37,63.765,64.685,368387668160,0,Monday,-0.01,-0.0156
2009-03-17,64.69,65.435,64.66,65.26,398506748270,1,Tuesday,,
2009-03-18,65.26,65.49,63.935,65.25,406801507700,2,Wednesday,,
2009-03-19,65.25,65.585,64.2,65.01,540383670580,3,Thursday,,
2009-03-20,65.01,66.315,64.865,65.85,351561407970,4,Friday,,
2009-03-22,65.95,66.02,65.84,65.99,1658200000,6,Sunday,,
2009-03-23,65.995,68.55,65.87,68.43,452418940400,0,Monday,0.005,0.0076
2009-03-24,68.425,69.62,67.78,68.125,476398923350,1,Tuesday,,
2009-03-25,68.125,68.76,67.25,68.115,431382633140,2,Wednesday,,
2009-03-26,68.115,69.435,67.975,69.384,377065569180,3,Thursday,,
2009-03-27,69.405,69.43,67.2,67.89,398860666850,4,Friday,,
2009-03-30,67.667,68.03,64.97,66.24,401120167030,0,Monday,-0.223,-0.3285
2009-03-31,66.235,69.115,66.145,68.365,462040667080,1,Tuesday,,
2009-04-01,68.365,69.025,67.605,68.86,433781417880,2,Wednesday,,
2009-04-02,68.86,71.53,68.635,71.15,484400137970,3,Thursday,,
2009-04-03,71.135,72.315,70.325,71.665,440453139510,4,Friday,,
2009-04-06,71.615,72.855,71.225,72.065,436260223990,0,Monday,-0.05,-0.0698
2009-04-07,72.07,72.24,70.585,71.36,459179748570,1,Tuesday,,
2009-04-08,71.36,71.77,70.025,70.82,466060151820,2,Wednesday,,
2009-04-09,70.81,72.315,70.38,72.195,316464500060,3,Thursday,,
2009-04-10,72.18,72.405,71.936,72.045,110479700090,4,Friday,,
2009-04-13,72.856,73.305,72.06,73.235,131541299820,0,Monday,0.811,1.1257
2009-04-14,73.225,73.49,71.47,71.61,372479463390,1,Tuesday,,
2009-04-15,71.61,72.535,70.24,72.395,429453299910,2,Wednesday,,
2009-04-16,72.395,72.75,70.67,71.515,478452500410,3,Thursday,,
