Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2013-11-07,00:00:00,15733.64,15827.84,15590.9,15596.94,3174480,3,Thursday,,
2013-11-08,00:00:00,15592.88,15766.96,15543.94,15745.83,8281640,4,Friday,,
2013-11-11,00:00:00,15745.64,15791.95,15722.63,15773.9,12121130,0,Monday,-0.19,-0.00121
2013-11-12,00:00:00,15774.65,15798.93,15705.91,15758.71,10781120,1,Tuesday,,
2013-11-13,00:00:00,15749.86,15846.99,15650.96,15832.91,10653570,2,Wednesday,,
2013-11-14,00:00:00,15824.6,15885.99,15797.9,15872.6,10162600,3,Thursday,,
2013-11-15,00:00:00,15872.81,15964.14,15857.93,15948.67,13193950,4,Friday,,
2013-11-18,00:00:00,15945.71,16028.71,15928.65,15980.99,2239550,0,Monday,-2.96,-0.01856
2013-11-19,00:00:00,15978.69,16025.92,15942.92,15966.68,9480380,1,Tuesday,,
2013-11-20,00:00:00,15961.85,16016.65,15862.98,15908.74,11048410,2,Wednesday,,
2013-11-21,00:00:00,15909.81,16014.2,15874.78,16003.67,8243860,3,Thursday,,
2013-11-22,00:00:00,16000.95,16065.93,15971.93,16053.81,11373020,4,Friday,,
2013-11-25,00:00:00,16101.79,16120.77,16055.0,16079.86,13341800,0,Monday,47.98,0.29887
2013-11-26,00:00:00,16082.81,16121.95,16067.6,16085.97,13122030,1,Tuesday,,
2013-11-27,00:00:00,16075.9,16110.0,16056.91,16088.82,14206590,2,Wednesday,,
2013-11-28,00:00:00,16090.7,16146.99,16086.67,16135.0,69590,3,Thursday,,
2013-11-29,00:00:00,16126.92,16174.94,16075.98,16097.92,4596810,4,Friday,,
2013-12-02,00:00:00,16104.68,16125.87,15986.92,16003.91,13735360,0,Monday,6.76,0.04199
2013-12-03,00:00:00,15998.74,16013.82,15866.93,15902.94,9824960,1,Tuesday,,
2013-12-04,00:00:00,15898.72,15959.97,15790.97,15899.72,432940,2,Wednesday,,
2013-12-05,00:00:00,15898.67,15901.9,15808.9,15818.62,8743550,3,Thursday,,
2013-12-06,00:00:00,15814.68,16062.94,15813.64,16023.72,10823170,4,Friday,,
2013-12-09,00:00:00,16037.76,16060.94,16005.66,16027.64,12664400,0,Monday,14.04,0.08762
2013-12-10,00:00:00,16027.87,16050.97,15965.72,15990.78,8630250,1,Tuesday,,
2013-12-11,00:00:00,15989.84,16023.95,15828.12,15840.68,11061800,2,Wednesday,,
2013-12-12,00:00:00,15828.76,15853.79,15703.92,15728.93,11153290,3,Thursday,,
2013-12-13,00:00:00,15729.69,15792.64,15716.9,15757.67,10871780,4,Friday,,
2013-12-16,00:00:00,15757.9,15933.92,15662.68,15878.6,12191450,0,Monday,0.23,0.00146
2013-12-17,00:00:00,15878.67,15924.98,15834.93,15857.8,11101050,1,Tuesday,,
2013-12-18,00:00:00,15859.92,16182.61,15807.92,16162.73,8955120,2,Wednesday,,
2013-12-19,00:00:00,16161.64,16194.98,16092.96,16170.77,10402160,3,Thursday,,
2013-12-20,00:00:00,16169.9,16286.34,16168.6,16252.97,11462220,4,Friday,,
2013-12-23,00:00:00,16276.83,16317.91,16266.96,16307.64,13573150,0,Monday,23.86,0.1468
2013-12-24,00:00:00,16303.87,16364.98,16281.82,16357.52,9510380,1,Tuesday,,
2013-12-25,00:00:00,16357.53,16357.53,16357.52,16357.52,4000,2,Wednesday,,
2013-12-26,00:00:00,16357.52,16485.97,16357.52,16483.97,11408100,3,Thursday,,
2013-12-27,00:00:00,16482.77,16528.98,16449.6,16476.97,8848910,4,Friday,,
2013-12-30,00:00:00,16479.7,16506.92,16472.7,16505.76,15287130,0,Monday,2.73,0.01657
2013-12-31,00:00:00,16503.85,16588.23,16492.59,16576.63,13955380,1,Tuesday,,
2014-01-02,00:00:00,16528.95,16549.97,16423.91,16445.77,8055160,3,Thursday,,
2014-01-03,00:00:00,16447.85,16516.91,16394.67,16454.62,10703220,4,Friday,,
2014-01-06,00:00:00,16482.61,16535.99,16400.9,16420.67,10264490,0,Monday,27.99,0.1701
2014-01-07,00:00:00,16419.6,16562.98,16419.6,16519.66,9661320,1,Tuesday,,
2014-01-08,00:00:00,16515.88,16539.97,16416.81,16459.84,12584450,2,Wednesday,,
2014-01-09,00:00:00,16460.63,16527.9,16376.91,16451.97,10636590,3,Thursday,,
