Date,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2023-08-04,142.495,142.903,141.549,141.697,472834590370,4,Friday,,
2023-08-07,141.666,142.583,141.511,142.482,419435439820,0,Monday,-0.031,-0.0219
2023-08-08,142.477,143.492,142.397,143.367,350041960610,1,Tuesday,,
2023-08-09,143.361,143.747,142.998,143.719,310181690480,2,Wednesday,,
2023-08-10,143.712,144.814,143.281,144.712,347856930450,3,Thursday,,
2023-08-11,144.711,144.999,144.417,144.876,412637939680,4,Friday,,
2023-08-14,144.805,145.577,144.65,145.543,283267879690,0,Monday,-0.071,-0.049
2023-08-15,145.549,145.864,145.103,145.562,432405610160,1,Tuesday,,
2023-08-16,145.551,146.405,145.306,146.339,404273439880,2,Wednesday,,
2023-08-17,146.331,146.559,145.617,145.828,397381290050,3,Thursday,,
2023-08-18,145.813,145.869,144.927,145.328,380544919800,4,Friday,,
2023-08-21,145.259,146.402,145.142,146.208,411517079900,0,Monday,-0.069,-0.0475
2023-08-22,146.197,146.397,145.494,145.882,384205020140,1,Tuesday,,
2023-08-23,145.876,145.877,144.538,144.827,332158499560,2,Wednesday,,
2023-08-24,144.801,145.957,144.6,145.828,389718270170,3,Thursday,,
2023-08-25,145.827,146.634,145.719,146.389,387558249850,4,Friday,,
2023-08-28,146.394,146.742,146.271,146.521,320942570220,0,Monday,0.005,0.0034
2023-08-29,146.521,147.374,145.667,145.867,438514999360,1,Tuesday,,
2023-08-30,145.867,146.535,145.558,146.224,479692350040,2,Wednesday,,
2023-08-31,146.218,146.227,145.348,145.523,461566260700,3,Thursday,,
2023-09-01,145.519,146.292,144.441,146.162,424070090030,4,Friday,,
2023-09-04,146.17,146.495,146.022,146.454,142159060130,0,Monday,0.008,0.0055
2023-09-05,146.448,147.801,146.365,147.707,405278160700,1,Tuesday,,
2023-09-06,147.718,147.816,147.016,147.647,393562670360,2,Wednesday,,
2023-09-07,147.637,147.872,147.042,147.282,345130680430,3,Thursday,,
2023-09-08,147.279,147.87,146.584,147.798,413907000140,4,Friday,,
2023-09-11,146.981,147.271,145.9,146.57,497356259660,0,Monday,-0.817,-0.5528
2023-09-12,146.569,147.233,146.436,147.067,338594459410,1,Tuesday,,
2023-09-13,147.058,147.745,147.016,147.446,440868399770,2,Wednesday,,
2023-09-14,147.445,147.564,147.016,147.457,314569709640,3,Thursday,,
2023-09-15,147.456,147.95,147.336,147.819,411034000690,4,Friday,,
2023-09-18,147.674,147.877,147.555,147.592,264331610470,0,Monday,-0.145,-0.0981
2023-09-19,147.577,147.92,147.503,147.841,311571830040,1,Tuesday,,
2023-09-20,147.823,148.356,147.472,148.332,359142650070,2,Wednesday,,
2023-09-21,148.332,148.457,147.319,147.568,368645730180,3,Thursday,,
2023-09-22,147.562,148.418,147.502,148.341,426030839390,4,Friday,,
2023-09-25,148.207,148.961,148.207,148.876,299539240080,0,Monday,-0.134,-0.0903
2023-09-26,148.872,149.185,148.701,149.048,326990460210,1,Tuesday,,
2023-09-27,149.042,149.708,148.86,149.618,311418179840,2,Wednesday,,
2023-09-28,149.609,149.609,149.143,149.298,364497739870,3,Thursday,,
2023-09-29,149.297,149.5,148.525,149.334,392256220240,4,Friday,,
2023-10-02,149.606,149.876,149.429,149.839,317595340160,0,Monday,0.272,0.1821
2023-10-03,149.837,150.159,147.277,148.961,376151730790,1,Tuesday,,
2023-10-04,148.962,149.317,148.733,149.112,412716569850,2,Wednesday,,
2023-10-05,149.107,149.116,148.257,148.505,430664070660,3,Thursday,,
2023-10-06,148.5,149.535,148.358,149.268,416858240490,4,Friday,,
2023-10-09,149.062,149.239,148.435,148.492,283151949940,0,Monday,-0.206,-0.138
2023-10-10,148.487,149.097,148.161,148.7,394093120200,1,Tuesday,,
2023-10-11,148.692,149.323,148.422,149.152,400845160210,2,Wednesday,,
2023-10-12,149.152,149.827,148.952,149.797,370289790250,3,Thursday,,
2023-10-13,149.794,149.827,149.451,149.506,347537330250,4,Friday,,
2023-10-16,149.341,149.764,149.337,149.497,272538430440,0,Monday,-0.165,-0.1104
2023-10-17,149.495,149.85,148.739,149.787,304267799980,1,Tuesday,,
2023-10-18,149.788,149.936,149.481,149.913,281646400260,2,Wednesday,,
